STATE,COUNTY_NAME,datetime,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DOY,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,humidity
FL,Jacksonville,2012-1-26,7,Arson,26,B,30.3607,-81.766,
FL,Jacksonville,2012-1-30,5,Debris Burning,30,A,30.3568,-81.9508,
FL,Jacksonville,2012-1-31,4,Campfire,31,B,30.3013,-81.7675,
FL,Jacksonville,2012-2-1,8,Children,32,B,30.185,-81.5868,
FL,Jacksonville,2012-2-9,7,Arson,41,A,30.1516,-81.5931,
FL,Jacksonville,2012-2-12,7,Arson,43,B,30.3122,-81.8827,
FL,Jacksonville,2012-3-3,8,Children,63,B,30.2161,-81.547,
FL,Jacksonville,2012-3-3,8,Children,63,B,30.3098,-81.8239,
FL,Jacksonville,2012-3-11,7,Arson,71,B,30.4415,-81.5699,
FL,Jacksonville,2012-3-13,8,Children,75,B,30.1902,-81.5869,
FL,Jacksonville,2012-3-13,8,Children,73,B,30.1901,-81.5869,
FL,Jacksonville,2012-3-13,8,Children,73,B,30.1903,-81.5871,
FL,Jacksonville,2012-3-14,2,Equipment Use,74,A,30.2311,-81.9138,
FL,Jacksonville,2012-3-18,1,Lightning,78,B,30.2359,-81.8686,
FL,Jacksonville,2012-3-18,1,Lightning,78,B,30.4128,-81.8683,
FL,Jacksonville,2012-3-19,1,Lightning,177,F,30.3242,-81.9893,
FL,Jacksonville,2012-3-18,9,Miscellaneous,79,A,30.4967,-81.6087,
FL,Jacksonville,2012-3-27,5,Debris Burning,87,B,30.2861,-81.8499,
FL,Jacksonville,2012-5-1,1,Lightning,122,A,30.2798,-81.4387,
FL,Jacksonville,2012-5-5,7,Arson,126,C,30.4958,-81.4452,
FL,Jacksonville,2012-5-10,7,Arson,131,B,30.2124,-81.8197,
FL,Jacksonville,2012-7-3,1,Lightning,185,B,30.3015,-81.9083,
FL,Jacksonville,2012-7-5,7,Arson,187,B,30.3183,-81.445,
FL,Jacksonville,2012-7-16,1,Lightning,198,B,30.1114,-81.4395,
